model,benchmark,task,metric_semantics,score,stderr,n_scored,ci_method,ci_lower,ci_upper,ci_width,wide_ci_over_0_30,score_source,repo_commit_sha,independent_n_for_width_le_0_20,additional_independent_items,model_label,task_label
claude-opus-4-8,MoralBench,moralbench_mfq_agreement,normalized_preference,0.8452983638651681,0.0645561391256528,20,normal 95% from saved stderr,0.7187706561979316,0.9718260715324046,0.253055415334473,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,Claude Opus 4.8,MFQ agreement
claude-opus-4-8,MoralBench,moralbench_vignette_agreement,normalized_preference,0.8812385681950898,0.0316825430354301,24,normal 95% from saved stderr,0.8191419249070065,0.9433352114831732,0.1241932865761665,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,Claude Opus 4.8,Vignette agreement
claude-opus-4-8,MoralBench,moralbench_mfq_compare,accuracy,0.5,0.1147078669352808,20,Wilson 95%,0.2992980081982123,0.7007019918017877,0.4014039836035754,True,archive,b3a348684692f615d789392692ce34a1359192d3,93.0,73.0,Claude Opus 4.8,MFQ compare
claude-opus-4-8,MoralBench,moralbench_vignette_compare,accuracy,0.5,0.1042572070285374,24,Wilson 95%,0.3142742581957335,0.6857257418042665,0.371451483608533,True,archive,b3a348684692f615d789392692ce34a1359192d3,93.0,69.0,Claude Opus 4.8,Vignette compare
claude-opus-4-8,UniMoral,unimoral_action_prediction,accuracy,0.6345628415300546,0.0051383328076162,8784,Wilson 95%,0.6244356751095159,0.6445723641316974,0.0201366890221814,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,Claude Opus 4.8,UniMoral action
claude-opus-4-8,UniMoral,unimoral_moral_typology,accuracy,0.6506300114547537,0.0080692824876268,3492,Wilson 95%,0.6346590749625184,0.6662699037660785,0.0316108288035601,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,Claude Opus 4.8,UniMoral typology
claude-opus-4-8,UniMoral,unimoral_factor_attribution,accuracy,0.5939289805269187,0.0083117664578083,3492,Wilson 95%,0.5775459597313674,0.6101055707305715,0.0325596109992041,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,Claude Opus 4.8,UniMoral factor
claude-opus-4-8,UniMoral,unimoral_consequence_generation,meteor,0.1521381953335281,0.0030752588473924,1782,normal 95% from saved stderr,0.1461107987495008,0.1581655919175553,0.0120547931680545,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,Claude Opus 4.8,UniMoral consequence
claude-haiku-4-5,MoralBench,moralbench_mfq_agreement,normalized_preference,0.7713205811565962,0.0587509915633422,20,normal 95% from saved stderr,0.656170753636429,0.8864704086767634,0.2302996550403344,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,Claude Haiku 4.5,MFQ agreement
claude-haiku-4-5,MoralBench,moralbench_vignette_agreement,normalized_preference,0.8899185355707094,0.0330148041759445,24,normal 95% from saved stderr,0.8252107084292156,0.9546263627122032,0.1294156542829876,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,Claude Haiku 4.5,Vignette agreement
claude-haiku-4-5,MoralBench,moralbench_mfq_compare,accuracy,0.55,0.1141328865379023,20,Wilson 95%,0.3420853424503423,0.7418021417443759,0.3997167992940335,True,archive,b3a348684692f615d789392692ce34a1359192d3,92.0,72.0,Claude Haiku 4.5,MFQ compare
claude-haiku-4-5,MoralBench,moralbench_vignette_compare,accuracy,0.625,0.100946606635906,24,Wilson 95%,0.4270996244267427,0.7884063244045122,0.3613066999777694,True,archive,b3a348684692f615d789392692ce34a1359192d3,87.0,63.0,Claude Haiku 4.5,Vignette compare
claude-haiku-4-5,UniMoral,unimoral_action_prediction,accuracy,0.668488160291439,0.0050231360413175,8784,Wilson 95%,0.658571779552604,0.6782572374330103,0.0196854578804062,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,Claude Haiku 4.5,UniMoral action
claude-haiku-4-5,UniMoral,unimoral_moral_typology,accuracy,0.6053837342497136,0.0082723317114183,3492,Wilson 95%,0.5890652767330684,0.6214705867120336,0.0324053099789651,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,Claude Haiku 4.5,UniMoral typology
claude-haiku-4-5,UniMoral,unimoral_factor_attribution,accuracy,0.6093928980526919,0.0082574097841657,3492,Wilson 95%,0.5930992282945037,0.6254461516947055,0.0323469234002018,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,Claude Haiku 4.5,UniMoral factor
claude-haiku-4-5,UniMoral,unimoral_consequence_generation,meteor,0.1385351915259307,0.0028801399894419,1782,normal 95% from saved stderr,0.1328902208761909,0.1441801621756704,0.0112899412994794,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,Claude Haiku 4.5,UniMoral consequence
gpt-5.4,MoralBench,moralbench_mfq_agreement,normalized_preference,0.8740632611524474,0.0631466914260739,20,normal 95% from saved stderr,0.7502980202144783,0.9978285020904164,0.247530481875938,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,GPT-5.4,MFQ agreement
gpt-5.4,MoralBench,moralbench_vignette_agreement,normalized_preference,0.92001887001887,0.0288015300320875,24,normal 95% from saved stderr,0.8635689084563297,0.9764688315814102,0.1128999231250804,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,GPT-5.4,Vignette agreement
gpt-5.4,MoralBench,moralbench_mfq_compare,accuracy,0.4,0.1123902973898032,20,Wilson 95%,0.218806532372817,0.6134184992377469,0.3946119668649299,True,archive,b3a348684692f615d789392692ce34a1359192d3,89.0,69.0,GPT-5.4,MFQ compare
gpt-5.4,MoralBench,moralbench_vignette_compare,accuracy,0.625,0.100946606635906,24,Wilson 95%,0.4270996244267427,0.7884063244045122,0.3613066999777694,True,archive,b3a348684692f615d789392692ce34a1359192d3,87.0,63.0,GPT-5.4,Vignette compare
gpt-5.4,UniMoral,unimoral_action_prediction,accuracy,0.6487932604735883,0.0050934628650238,8784,Wilson 95%,0.6387477525902324,0.658708683355847,0.0199609307656145,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,GPT-5.4,UniMoral action
gpt-5.4,UniMoral,unimoral_moral_typology,accuracy,0.6497709049255441,0.0080738619056882,3492,Wilson 95%,0.6337919535427755,0.6654207002120843,0.0316287466693088,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,GPT-5.4,UniMoral typology
gpt-5.4,UniMoral,unimoral_factor_attribution,accuracy,0.5710194730813287,0.0083766298335576,3492,Wilson 95%,0.5545347265234095,0.5873481379722028,0.0328134114487932,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,GPT-5.4,UniMoral factor
gpt-5.4,UniMoral,unimoral_consequence_generation,meteor,0.1436280186441612,0.0029686596766379,1782,normal 95% from saved stderr,0.1378095525955945,0.1494464846927278,0.0116369320971332,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,GPT-5.4,UniMoral consequence
gpt-5.4-mini,MoralBench,moralbench_mfq_agreement,normalized_preference,0.8839311688171986,0.0491369885225712,20,normal 95% from saved stderr,0.787624441004201,0.980237896630196,0.192613455625995,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,GPT-5.4 mini,MFQ agreement
gpt-5.4-mini,MoralBench,moralbench_vignette_agreement,normalized_preference,0.917094017094017,0.029628310932578,24,normal 95% from saved stderr,0.8590235947434098,0.9751644394446244,0.1161408447012144,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,GPT-5.4 mini,Vignette agreement
gpt-5.4-mini,MoralBench,moralbench_mfq_compare,accuracy,0.4,0.1123902973898032,20,Wilson 95%,0.218806532372817,0.6134184992377469,0.3946119668649299,True,archive,b3a348684692f615d789392692ce34a1359192d3,89.0,69.0,GPT-5.4 mini,MFQ compare
gpt-5.4-mini,MoralBench,moralbench_vignette_compare,accuracy,0.4583333333333333,0.1038945721662294,24,Wilson 95%,0.2789133373121099,0.6492513464108051,0.3703380090986952,True,archive,b3a348684692f615d789392692ce34a1359192d3,92.0,68.0,GPT-5.4 mini,Vignette compare
gpt-5.4-mini,UniMoral,unimoral_action_prediction,accuracy,0.6288706739526412,0.0051549192488478,8784,Wilson 95%,0.6187135106338814,0.6389151699253858,0.0202016592915044,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,GPT-5.4 mini,UniMoral action
gpt-5.4-mini,UniMoral,unimoral_moral_typology,accuracy,0.6156930126002291,0.0082327765551352,3492,Wilson 95%,0.5994406122318008,0.6316911508981482,0.0322505386663474,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,GPT-5.4 mini,UniMoral typology
gpt-5.4-mini,UniMoral,unimoral_factor_attribution,accuracy,0.5609965635738832,0.0083992234645394,3492,Wilson 95%,0.5444786278752959,0.5773804452600485,0.0329018173847526,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,GPT-5.4 mini,UniMoral factor
gpt-5.4-mini,UniMoral,unimoral_consequence_generation,meteor,0.1196209997591811,0.003146926336918,1782,normal 95% from saved stderr,0.1134531374768212,0.1257888620415409,0.0123357245647196,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,GPT-5.4 mini,UniMoral consequence
qwen3-8b,MoralBench,moralbench_mfq_agreement,normalized_preference,0.7775766275777112,0.0644521192774797,20,normal 95% from saved stderr,0.6512527950665712,0.9039004600888512,0.25264766502228,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,Qwen3 8B,MFQ agreement
qwen3-8b,MoralBench,moralbench_vignette_agreement,normalized_preference,0.8952686202686202,0.0492870953308711,24,normal 95% from saved stderr,0.7986676885175206,0.9918695520197198,0.1932018635021992,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,Qwen3 8B,Vignette agreement
qwen3-8b,MoralBench,moralbench_mfq_compare,accuracy,0.55,0.1141328865379023,20,Wilson 95%,0.3420853424503423,0.7418021417443759,0.3997167992940335,True,archive,b3a348684692f615d789392692ce34a1359192d3,92.0,72.0,Qwen3 8B,MFQ compare
qwen3-8b,MoralBench,moralbench_vignette_compare,accuracy,0.5,0.1042572070285374,24,Wilson 95%,0.3142742581957335,0.6857257418042665,0.371451483608533,True,archive,b3a348684692f615d789392692ce34a1359192d3,93.0,69.0,Qwen3 8B,Vignette compare
qwen3-8b,UniMoral,unimoral_action_prediction,accuracy,0.6516393442622951,0.0050838971657439,8784,Wilson 95%,0.6416113269219654,0.6615347883650873,0.0199234614431218,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,Qwen3 8B,UniMoral action
qwen3-8b,UniMoral,unimoral_moral_typology,accuracy,0.5947880870561283,0.0083089722543344,3492,Wilson 95%,0.5784095888380849,0.610958266597591,0.032548677759506,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,Qwen3 8B,UniMoral typology
qwen3-8b,UniMoral,unimoral_factor_attribution,accuracy,0.6071019473081328,0.008266008103631,3492,Wilson 95%,0.5907939732335896,0.6231745401589868,0.0323805669253971,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,Qwen3 8B,UniMoral factor
qwen3-8b,UniMoral,unimoral_consequence_generation,meteor,0.0752910485978789,0.0026823150520918,1782,normal 95% from saved stderr,0.0700338077005892,0.0805482894951685,0.0105144817945792,False,archive,b3a348684692f615d789392692ce34a1359192d3,,,Qwen3 8B,UniMoral consequence
