family,task,task_label,metric,small,medium,large,direction,evidence_status,source_repository_head,source_path
Gemma,unimoral_action_prediction,UniMoral action,Accuracy,0.6344489981785064,0.6606329690346083,0.6466302367941712,mixed,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
Gemma,unimoral_consequence_generation,UniMoral consequence,METEOR,0.0961731287001293,0.1003728234417946,0.0915317939459811,mixed,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
Gemma,unimoral_factor_attribution,UniMoral factor,Accuracy,0.5784650630011455,0.6005154639175257,0.6125429553264605,rising,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
Gemma,unimoral_moral_typology,UniMoral typology,Accuracy,0.5970790378006873,0.5790378006872853,0.5701603665521191,falling,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
Gemma,value_prism_relevance,ValuePrism relevance,Accuracy,0.6061355311355311,0.6757326007326008,0.6546932234432234,mixed,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
Llama,unimoral_action_prediction,UniMoral action,Accuracy,0.6247723132969034,0.6287568306010929,0.6679189435336976,rising,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
Llama,unimoral_consequence_generation,UniMoral consequence,METEOR,0.1283357957910936,0.1246885571986021,0.1413553303952906,mixed,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
Llama,unimoral_factor_attribution,UniMoral factor,Accuracy,0.606815578465063,0.599942726231386,0.634020618556701,mixed,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
Llama,unimoral_moral_typology,UniMoral typology,Accuracy,0.5214776632302406,0.5950744558991982,0.5990836197021764,rising,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
Llama,value_prism_relevance,ValuePrism relevance,Accuracy,0.6243360805860806,0.6415064102564103,0.7006868131868131,rising,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
Llama,value_prism_valence,ValuePrism valence,Accuracy,0.4649725274725275,0.3846611721611722,0.7467948717948718,mixed,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
Qwen,unimoral_action_prediction,UniMoral action,Accuracy,0.6490209471766849,0.4793943533697632,0.6342213114754098,mixed,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
Qwen,unimoral_consequence_generation,UniMoral consequence,METEOR,0.1128233292861732,0.1195117327084624,0.1327019415653371,rising,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
Qwen,unimoral_factor_attribution,UniMoral factor,Accuracy,0.5538373424971363,0.6073883161512027,0.563573883161512,mixed,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
Qwen,unimoral_moral_typology,UniMoral typology,Accuracy,0.563573883161512,0.5967926689576174,0.5211912943871707,mixed,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
