model,benchmark,task,metric_semantics,score,stderr,n_scored,ci_method,ci_lower,ci_upper,ci_width,wide_ci_over_0_30,score_source,repo_commit_sha,independent_n_for_width_le_0_20,additional_independent_items
claude-opus-4-8,MoralBench,moralbench_mfq_agreement,normalized_preference,0.8452983638651681,0.0645561391256528,20,normal 95% from saved stderr,0.7187706561979316,0.9718260715324046,0.25305541533447307,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
claude-opus-4-8,MoralBench,moralbench_vignette_agreement,normalized_preference,0.8812385681950898,0.0316825430354301,24,normal 95% from saved stderr,0.8191419249070065,0.9433352114831731,0.12419328657616657,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
claude-opus-4-8,MoralBench,moralbench_mfq_compare,accuracy,0.5,0.1147078669352808,20,Wilson 95%,0.2992980081982123,0.7007019918017877,0.40140398360357543,True,archive,b3a348684692f615d789392692ce34a1359192d3,93,73
claude-opus-4-8,MoralBench,moralbench_vignette_compare,accuracy,0.5,0.1042572070285374,24,Wilson 95%,0.3142742581957335,0.6857257418042665,0.371451483608533,True,archive,b3a348684692f615d789392692ce34a1359192d3,93,69
claude-opus-4-8,UniMoral,unimoral_action_prediction,accuracy,0.6345628415300546,0.0051383328076162,8784,Wilson 95%,0.6244356751095159,0.6445723641316974,0.020136689022181464,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
claude-opus-4-8,UniMoral,unimoral_moral_typology,accuracy,0.6506300114547537,0.0080692824876268,3492,Wilson 95%,0.6346590749625184,0.6662699037660785,0.03161082880356014,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
claude-opus-4-8,UniMoral,unimoral_factor_attribution,accuracy,0.5939289805269187,0.0083117664578083,3492,Wilson 95%,0.5775459597313674,0.6101055707305715,0.032559610999204125,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
claude-opus-4-8,UniMoral,unimoral_consequence_generation,meteor,0.1521381953335281,0.0030752588473924,1782,normal 95% from saved stderr,0.14611079874950084,0.15816559191755536,0.012054793168054523,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
claude-sonnet-4-6,MoralBench,moralbench_mfq_agreement,normalized_preference,0.8624030770319793,0.0534855537391557,20,normal 95% from saved stderr,0.7575733180100525,0.9672328360539061,0.20965951804385363,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
claude-sonnet-4-6,MoralBench,moralbench_vignette_compare,accuracy,0.4166666666666667,0.1027989924573268,24,Wilson 95%,0.24467602609811764,0.6116533413477124,0.36697731524959476,True,archive,b3a348684692f615d789392692ce34a1359192d3,90,66
claude-sonnet-4-6,UniMoral,unimoral_moral_typology,accuracy,0.6460481099656358,0.0080933742554726,3492,Wilson 95%,0.6300350764285322,0.6617401691067996,0.03170509267826738,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
claude-sonnet-4-6,UniMoral,unimoral_factor_attribution,accuracy,0.6013745704467354,0.0082866711692995,3492,Wilson 95%,0.5850324646588596,0.6174938822421352,0.03246141758327559,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
